tick,read_write_time_ms,mem_usage_mb,chunks_loaded,chunks_unloaded,used_cells,used_cells_bbox_w,used_cells_bbox_h,player_x,player_y,savefile_size
3744,0.059,56.0156917572021,0,0,4096,64,64,17641.58203125,17641.58203125,1589248
3745,0.059,56.0156927108765,0,0,4096,64,64,17646.296875,17646.296875,1589248
3746,0.042,56.0156936645508,0,0,4096,64,64,17651.01171875,17651.01171875,1589248
3747,0.051,56.0156946182251,0,0,4096,64,64,17655.7265625,17655.7265625,1589248
3748,0.039,56.0156955718994,0,0,4096,64,64,17660.44140625,17660.44140625,1589248
3749,0.058,56.0156965255737,0,0,4096,64,64,17665.15625,17665.15625,1589248
3750,0.037,56.015697479248,0,0,4096,64,64,17669.87109375,17669.87109375,1589248
3751,0.078,56.0156984329224,0,0,4096,64,64,17674.5859375,17674.5859375,1589248
3752,0.041,56.0156993865967,0,0,4096,64,64,17679.30078125,17679.30078125,1589248
3753,0.043,56.015700340271,0,0,4096,64,64,17684.015625,17684.015625,1589248
3754,0.044,56.0157012939453,0,0,4096,64,64,17688.73046875,17688.73046875,1589248
3755,0.071,56.0157022476196,0,0,4096,64,64,17693.4453125,17693.4453125,1589248
3756,0.056,56.0157032012939,0,0,4096,64,64,17698.16015625,17698.16015625,1589248
3757,0.053,56.0157041549683,0,0,4096,64,64,17702.875,17702.875,1589248
3758,0.052,56.0157051086426,0,0,4096,64,64,17707.58984375,17707.58984375,1589248
3759,0.06,56.0157060623169,0,0,4096,64,64,17712.3046875,17712.3046875,1589248
3760,0.046,56.0157070159912,0,0,4096,64,64,17717.01953125,17717.01953125,1589248
3761,0.054,56.0157079696655,0,0,4096,64,64,17721.734375,17721.734375,1589248
3762,0.053,56.0157089233398,0,0,4096,64,64,17726.44921875,17726.44921875,1589248
3763,0.037,56.0157098770142,0,0,4096,64,64,17731.1640625,17731.1640625,1589248
3764,0.056,56.0157108306885,0,0,4096,64,64,17735.87890625,17735.87890625,1589248
3765,0.05,56.0157117843628,0,0,4096,64,64,17740.59375,17740.59375,1589248
3766,0.064,56.0157127380371,0,0,4096,64,64,17745.30859375,17745.30859375,1589248
3767,0.05,56.0157136917114,0,0,4096,64,64,17750.0234375,17750.0234375,1589248
3768,0.061,56.0157146453857,0,0,4096,64,64,17754.73828125,17754.73828125,1589248
